Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Change%
BTC,7/18/2018,7359.737018,7316.147712,7581.570739,7245.303111,0.006040007
BTC,7/19/2018,7484.63967,7359.737036,7557.513087,7282.772794,0.016971075
BTC,7/20/2018,7357.445677,7484.639663,7697.005345,7281.406498,-0.016994004
BTC,7/21/2018,7424.734238,7337.282091,7456.464384,7215.327022,0.009145642
BTC,7/22/2018,7411.200525,7424.503503,7571.740451,7341.523165,-0.001822788
BTC,7/23/2018,7730.24748,7400.464661,7805.491249,7374.251359,0.043049295
BTC,7/24/2018,8325.801534,7730.248177,8359.319474,7695.982837,0.077042042
BTC,7/25/2018,8271.59792,8320.159947,8486.01168,8056.018565,-0.006510318
BTC,7/26/2018,7925.247396,8269.532335,8313.126681,7914.600936,-0.041872263
BTC,7/27/2018,8254.277348,7933.125251,8277.703662,7801.009443,0.041516679
BTC,7/28/2018,8184.695535,8182.375003,8233.482102,8063.326116,-0.008429789
BTC,7/29/2018,8201.89009,8184.696086,8292.515658,8119.71331,0.002100818
BTC,7/30/2018,8166.38836,8215.215969,8274.533757,7862.074283,-0.004328482
BTC,7/31/2018,7700.834129,8166.688399,8198.484617,7666.290884,-0.057008583
BTC,8/1/2018,7588.58618,7732.347291,7751.87765,7440.241506,-0.014576077
BTC,8/2/2018,7547.314951,7589.374917,7698.487139,7460.295,-0.005438593
BTC,8/3/2018,7423.074378,7527.040399,7533.667263,7271.202487,-0.016461559
BTC,8/4/2018,7396.041122,7423.075093,7501.316029,7359.236813,-0.003641787
BTC,8/5/2018,7411.515299,7395.622456,7413.130811,7386.062077,0.002092224
BTC,8/6/2018,7402.336634,7411.5153,7417.408688,7401.375071,-0.001238433
BTC,8/7/2018,6748.441484,7402.336631,7412.287461,6678.28556,-0.088336316
BTC,8/8/2018,6460.153155,6721.43509,6750.408312,6396.088336,-0.042719246
BTC,8/9/2018,6482.973449,6460.153697,6483.498065,6455.990701,0.00353247
BTC,8/10/2018,6092.533104,6482.968724,6494.016385,6008.854855,-0.060225504
BTC,8/11/2018,6391.599258,6101.856478,6473.271658,5982.215632,0.049087325
BTC,8/12/2018,6338.738957,6392.972745,6450.72431,6147.760509,-0.008270278
BTC,8/13/2018,6260.192995,6338.738903,6532.599017,6150.224816,-0.012391418
BTC,8/14/2018,6123.447601,6256.844082,6285.55769,5884.779259,-0.021843639
BTC,8/15/2018,6332.6069,6186.971207,6587.317958,6180.25542,0.034157114
BTC,8/16/2018,6273.88807,6332.6069,6467.86245,6210.161423,-0.009272458
BTC,8/17/2018,6566.595283,6277.041776,6572.931093,6259.389957,0.046654835
BTC,8/18/2018,6396.946369,6559.693837,6616.676752,6300.114994,-0.025835141
BTC,8/19/2018,6516.668382,6391.086269,6539.964724,6302.207382,0.018715494
BTC,8/20/2018,6299.395333,6516.772572,6523.486097,6280.326328,-0.033341124
BTC,8/21/2018,6470.733567,6252.328859,6494.665011,6240.901886,0.027199156
BTC,8/22/2018,6355.881809,6470.074511,6882.835906,6250.653823,-0.017749418
BTC,8/23/2018,6503.832362,6360.216985,6559.279489,6347.079538,0.023277738
BTC,8/24/2018,6675.360683,6525.526663,6711.493665,6456.798837,0.026373423
BTC,8/25/2018,6725.032327,6683.354502,6781.075889,6657.387532,0.007441043
BTC,8/26/2018,6689.822683,6725.032327,6776.896406,6570.729822,-0.00523561
BTC,8/27/2018,6756.628926,6702.39195,6768.305515,6646.168014,0.00998625
BTC,8/28/2018,7084.293617,6753.31045,7126.730535,6739.190715,0.048495292
BTC,8/29/2018,7059.231235,7079.540613,7133.646631,6923.645531,-0.003537739
BTC,8/30/2018,6938.914582,7040.075012,7063.44051,6805.198514,-0.017043875
BTC,8/31/2018,7028.447312,6938.762942,7089.1748,6877.286733,0.012902988
BTC,9/1/2018,7198.058436,7028.447311,7273.526925,7002.341106,0.02413209
BTC,9/2/2018,7282.858514,7198.057948,7339.812044,7130.172251,0.011780965
BTC,9/3/2018,7260.251593,7282.231751,7335.455082,7198.264981,-0.003104127
BTC,9/4/2018,7361.271864,7263.067297,7417.667037,7240.376738,0.013914156
BTC,9/5/2018,6913.115013,7359.974361,7399.538604,6860.772764,-0.060880356
BTC,9/6/2018,6471.493884,6913.115013,6927.094091,6301.93633,-0.063881641
BTC,9/7/2018,6400.268706,6515.39349,6539.798813,6318.952229,-0.011005987
BTC,9/8/2018,6181.744207,6400.3353,6479.20264,6120.293704,-0.034143019
BTC,9/9/2018,6253.937201,6183.97778,6447.313782,6144.924046,0.011678418
BTC,9/10/2018,6275.083132,6253.935863,6379.81011,6226.244827,0.003381219
BTC,9/11/2018,6275.669588,6275.086286,6278.477001,6270.784163,9.34579E-05
BTC,9/12/2018,6277.494409,6275.667962,6278.128034,6270.935037,0.000290777
BTC,9/13/2018,6283.1842,6277.232888,6284.247704,6277.230431,0.000906379
BTC,9/14/2018,6285.982466,6283.1845,6287.36465,6279.938808,0.000445358
BTC,9/15/2018,6280.310107,6284.486393,6286.252578,6279.348037,-0.000902382
BTC,9/16/2018,6281.409356,6280.041314,6282.095007,6277.600747,0.000175031
BTC,9/17/2018,6273.220083,6281.409355,6282.800877,6271.079572,-0.001303732
BTC,9/18/2018,6278.595486,6273.220083,6280.962297,6271.894453,0.000856881
BTC,9/19/2018,6282.610727,6277.484108,6291.6152,6265.094017,0.000639513
BTC,9/20/2018,6288.07017,6388.4,6532.96,6276.09445,0.000868977
BTC,9/21/2018,6317.699685,6288.070074,6327.366866,6286.82408,0.00471202
BTC,9/22/2018,6293.836421,6317.699923,6319.325727,6292.470693,-0.003777208
BTC,9/23/2018,6289.621327,6293.836421,6294.346274,6287.252102,-0.000669718
BTC,9/24/2018,6466.994564,6289.620676,6662.423134,6286.529049,0.028200941
BTC,9/25/2018,6391.385981,6466.994518,6480.688089,6331.802231,-0.011691456
BTC,9/26/2018,6509.776621,6391.385985,6559.484428,6389.429599,0.018523469
BTC,9/27/2018,6698.416047,6509.777014,6737.943844,6435.757875,0.028977865
BTC,9/28/2018,6502.688151,6698.416756,6799.930721,6487.953569,-0.029220027
BTC,9/29/2018,6576.61432,6502.686952,6633.760949,6468.403572,0.011368555
BTC,9/30/2018,6647.387947,6576.616083,6664.394229,6537.792079,0.010761408
BTC,10/1/2018,6603.754342,6647.387803,6659.79686,6510.647196,-0.006564023
BTC,10/2/2018,6576.354229,6539.322738,6585.475311,6532.148927,-0.004149172
BTC,10/3/2018,6481.24577,6577.997152,6578.001542,6433.655985,-0.014462186
BTC,10/4/2018,6594.935786,6506.454452,6642.005362,6501.934563,0.017541383
BTC,10/5/2018,6630.575297,6594.935786,6680.775154,6554.811033,0.005404072
BTC,10/6/2018,6595.260326,6634.134241,6644.564476,6571.472662,-0.005326079
BTC,10/7/2018,6591.686318,6595.260368,6637.223291,6547.187842,-0.000541906
BTC,10/8/2018,6662.8685,6614.103706,6696.495814,6591.206968,0.010798782
BTC,10/9/2018,6663.021071,6662.868499,6676.230859,6601.479356,2.28987E-05
BTC,10/10/2018,6619.495845,6663.020979,6663.020979,6546.963287,-0.006532356
BTC,10/11/2018,6285.859203,6628.470053,6628.582997,6221.48545,-0.050402123
BTC,10/12/2018,6309.198921,6285.506332,6350.784169,6207.718289,0.003713051
BTC,10/13/2018,6331.131154,6309.19844,6336.091101,6271.48444,0.003476231
BTC,10/14/2018,6361.417016,6329.97705,6408.601641,6319.713209,0.004783642
BTC,10/15/2018,6721.587503,6341.380722,7586.524634,6306.184686,0.056617965
BTC,10/16/2018,6724.833078,6723.097511,6897.033441,6679.922098,0.000482858
BTC,10/17/2018,6444.74701,6724.833124,6802.158612,6432.047212,-0.04164952
BTC,10/18/2018,6374.648863,6450.064663,6486.474922,6335.173505,-0.010876788
BTC,10/19/2018,6372.686817,6374.648863,6407.227988,6339.265011,-0.000307789
BTC,10/20/2018,6407.479085,6360.83549,6438.790347,6342.061455,0.005459592
BTC,10/21/2018,6412.530491,6406.390391,6472.834459,6398.003393,0.000788361
BTC,10/22/2018,6396.880154,6412.204305,6437.074557,6362.332866,-0.002440587
BTC,10/23/2018,6396.252324,6405.565596,6434.977703,6352.138046,-9.81463E-05
BTC,10/24/2018,6407.667175,6402.02255,6460.249804,6383.94633,0.001784615
BTC,10/25/2018,6405.500726,6412.566041,6421.783207,6358.259247,-0.000338103
BTC,10/26/2018,6392.179337,6405.336552,6448.028506,6370.195735,-0.00207968
BTC,10/27/2018,6436.355484,6392.845687,6442.889414,6389.344445,0.006910968
BTC,10/28/2018,6429.687141,6441.739221,6442.090373,6408.770584,-0.001036043
BTC,10/29/2018,6266.189683,6430.150405,6439.457696,6211.560523,-0.025428525
BTC,10/30/2018,6276.4645,6265.91015,6313.272457,6247.517585,0.001639723
BTC,10/31/2018,6321.713671,6276.734671,6394.783431,6207.057336,0.007209341
BTC,11/1/2018,6341.094813,6322.093628,6376.656227,6296.589337,0.003065805
BTC,11/2/2018,6360.141272,6340.400656,6409.156466,6336.649751,0.003003655
BTC,11/3/2018,6344.738943,6360.719812,6371.23797,6292.151812,-0.002421696
BTC,11/4/2018,6405.139755,6344.738943,6473.778438,6318.627622,0.009519826
BTC,11/5/2018,6396.352124,6405.140331,6440.957228,6374.69889,-0.001371966
BTC,11/6/2018,6425.917802,6404.377175,6449.998745,6377.542775,0.004622272
BTC,11/7/2018,6514.489453,6426.655222,6553.951932,6424.658626,0.013783502
BTC,11/8/2018,6412.524289,6518.336088,6530.733661,6400.936546,-0.015652058
BTC,11/9/2018,6343.632504,6412.524,6433.253185,6309.652653,-0.010743318
BTC,11/10/2018,6365.655232,6338.781895,6396.877364,6335.218051,0.003471627
BTC,11/11/2018,6327.480646,6360.005434,6380.813434,6292.721847,-0.005996961
BTC,11/12/2018,6327.154696,6370.273273,6391.766568,6305.010271,-5.15134E-05
BTC,11/13/2018,6282.438677,6327.154697,6331.487634,6245.238174,-0.007067319
BTC,11/14/2018,5524.801093,6281.604411,6295.953866,5390.11663,-0.120596097
BTC,11/15/2018,5511.152834,5524.764809,5692.068952,5244.694267,-0.002470362
BTC,11/16/2018,5448.600634,5573.017153,5608.722588,5423.050404,-0.011350112
BTC,11/17/2018,5497.411279,5513.42386,5564.028968,5466.50059,0.008958382
BTC,11/18/2018,5553.014895,5497.367784,5638.976973,5495.677822,0.010114509
BTC,11/19/2018,4800.342897,5553.014747,5610.149551,4708.864255,-0.135542946
BTC,11/20/2018,4246.312774,4744.619841,4888.622712,4076.594717,-0.115414697
BTC,11/21/2018,4478.299558,4364.741549,4631.902485,4250.165063,0.054632524
BTC,11/22/2018,4405.744031,4476.227244,4591.879115,4354.568649,-0.01620158
BTC,11/23/2018,4329.91722,4405.744487,4405.744585,4119.999691,-0.017210898
BTC,11/24/2018,3728.872648,4329.925425,4378.509892,3668.61397,-0.138812024
BTC,11/25/2018,3951.205029,3788.289089,4101.999387,3447.576041,0.059624557
BTC,11/26/2018,3640.557165,3951.21152,4064.748217,3530.721646,-0.078621044
BTC,11/27/2018,3792.192364,3640.937925,3830.820142,3559.324065,0.041651646
BTC,11/28/2018,4174.319972,3792.195994,4341.439922,3752.446179,0.100766937
BTC,11/29/2018,4218.608363,4220.323335,4400.462583,4082.319821,0.010609726
BTC,11/30/2018,3952.447895,4241.7447,4299.976374,3878.658101,-0.063092007
BTC,12/1/2018,4178.603828,3953.521462,4251.369948,3904.394191,0.057219207
BTC,12/2/2018,4118.518242,4138.47706,4255.954021,4038.098584,-0.014379345
BTC,12/3/2018,3847.032737,4092.851115,4104.858957,3755.326092,-0.065918248
BTC,12/4/2018,3889.29212,3847.02046,4034.531558,3724.003343,0.010984929
BTC,12/5/2018,3713.573383,3889.292261,3913.531776,3675.541484,-0.045180133
BTC,12/6/2018,3578.206624,3696.351467,3838.120977,3547.013939,-0.036451887
BTC,12/7/2018,3391.874146,3578.207206,3621.501257,3201.762797,-0.052074264
BTC,12/8/2018,3452.616185,3391.878176,3475.930178,3251.835797,0.017908105
BTC,12/9/2018,3507.306367,3452.588499,3642.41485,3374.366987,0.015840215
BTC,12/10/2018,3419.733768,3528.120201,3591.236734,3355.642553,-0.02496862
BTC,12/11/2018,3360.946628,3409.162882,3428.100418,3294.037452,-0.01719056
BTC,12/12/2018,3414.833749,3360.956191,3474.391356,3324.92518,0.016033316
BTC,12/13/2018,3263.547913,3427.049729,3435.142473,3233.263656,-0.044302548
BTC,12/14/2018,3212.207081,3262.271683,3300.651394,3138.099494,-0.015731601
BTC,12/15/2018,3194.962272,3212.207159,3227.86742,3122.342716,-0.005368523
BTC,12/16/2018,3200.642468,3178.299355,3256.600326,3176.353015,0.00177786
BTC,12/17/2018,3478.461203,3199.176265,3579.814884,3181.701395,0.086800928
BTC,12/18/2018,3562.894946,3478.46099,3573.240335,3429.858731,0.024273303
BTC,12/19/2018,3709.316759,3664.658829,3929.098491,3642.828665,0.041096304
